Text,Bounding_Boxes
cooss,"[[2532.0059 1823.8203]
 [2590.213  1823.8203]
 [2590.213  1843.2227]
 [2532.0059 1843.2227]]"
contmatiee,"[[ 858.5537  1838.3721 ]
 [ 989.51953 1838.3721 ]
 [ 989.51953 1857.7744 ]
 [ 858.5537  1857.7744 ]]"
sle,"[[3531.2266 1838.3721]
 [3570.0312 1838.3721]
 [3570.0312 1857.7744]
 [3531.2266 1857.7744]]"
bounoaired,"[[3579.7324 1838.3721]
 [3725.25   1838.3721]
 [3725.25   1857.7744]
 [3579.7324 1857.7744]]"
sed,"[[4273.366  1843.2227]
 [4312.171  1843.2227]
 [4312.171  1857.7744]
 [4273.366  1857.7744]]"
meecoimel,"[[4375.2285 1843.2227]
 [4481.9414 1843.2227]
 [4481.9414 1857.7744]
 [4375.2285 1857.7744]]"
eoa,"[[4486.792  1843.2227]
 [4520.746  1843.2227]
 [4520.746  1857.7744]
 [4486.792  1857.7744]]"
palle,"[[1333.9111 1848.0732]
 [1377.5664 1848.0732]
 [1377.5664 1862.625 ]
 [1333.9111 1862.625 ]]"
iehnt,"[[3186.835  1852.9238]
 [3264.4443 1852.9238]
 [3264.4443 1867.4756]
 [3186.835  1867.4756]]"
lqed,"[[1266.0029 1872.3262]
 [1314.5088 1872.3262]
 [1314.5088 1891.7285]
 [1266.0029 1891.7285]]"
isle,"[[3531.2266 1877.1768]
 [3570.0312 1877.1768]
 [3570.0312 1891.7285]
 [3531.2266 1891.7285]]"
mterec,"[[3579.7324 1877.1768]
 [3652.4912 1877.1768]
 [3652.4912 1891.7285]
 [3579.7324 1891.7285]]"
ibliswo,"[[1998.4414 1886.8779]
 [2080.9014 1886.8779]
 [2080.9014 1906.2803]
 [1998.4414 1906.2803]]"
ground,"[[2114.8555 1886.8779]
 [2187.6143 1886.8779]
 [2187.6143 1906.2803]
 [2114.8555 1906.2803]]"
osio,"[[2459.247  1886.8779]
 [2512.6035 1886.8779]
 [2512.6035 1906.2803]
 [2459.247  1906.2803]]"
pfroa,"[[3914.4229 1896.5791]
 [3972.63   1896.5791]
 [3972.63   1911.1309]
 [3914.4229 1911.1309]]"
deftel,"[[3987.1816 1896.5791]
 [4045.3887 1896.5791]
 [4045.3887 1911.1309]
 [3987.1816 1911.1309]]"
maled,"[[4084.1934 1896.5791]
 [4127.8486 1896.5791]
 [4127.8486 1911.1309]
 [4084.1934 1911.1309]]"
feflue,"[[3526.376  1901.4297]
 [3594.2842 1901.4297]
 [3594.2842 1915.9814]
 [3526.376  1915.9814]]"
le,"[[3628.2383 1901.4297]
 [3662.1924 1901.4297]
 [3662.1924 1915.9814]
 [3628.2383 1915.9814]]"
eic,"[[1299.957  1906.2803]
 [1343.6123 1906.2803]
 [1343.6123 1925.6826]
 [1299.957  1925.6826]]"
1s9l,"[[3177.1338 1906.2803]
 [3220.789  1906.2803]
 [3220.789  1925.6826]
 [3177.1338 1925.6826]]"
let,"[[3928.9746 1915.9814]
 [3972.63   1915.9814]
 [3972.63   1940.2344]
 [3928.9746 1940.2344]]"
iscise,"[[2813.3398 1920.832 ]
 [2876.3975 1920.832 ]
 [2876.3975 1940.2344]
 [2813.3398 1940.2344]]"
oroeo,"[[2954.0068 1920.832 ]
 [3021.915  1920.832 ]
 [3021.915  1940.2344]
 [2954.0068 1940.2344]]"
thleo,"[[3031.6162 1920.832 ]
 [3094.6738 1920.832 ]
 [3094.6738 1940.2344]
 [3031.6162 1940.2344]]"
selhee,"[[1299.957  1935.3838]
 [1367.8652 1935.3838]
 [1367.8652 1954.7861]
 [1299.957  1954.7861]]"
ocode,"[[ 863.4043 1940.2344]
 [ 926.4619 1940.2344]
 [ 926.4619 1959.6367]
 [ 863.4043 1959.6367]]"
balci,"[[ 984.66895 1940.2344 ]
 [1042.876   1940.2344 ]
 [1042.876   1959.6367 ]
 [ 984.66895 1959.6367 ]]"
tivi,"[[ 960.416  1945.085 ]
 [1008.9219 1945.085 ]
 [1008.9219 1983.8896]
 [ 960.416  1983.8896]]"
oaheen,"[[1527.9346 1945.085 ]
 [1620.0957 1945.085 ]
 [1620.0957 1964.4873]
 [1527.9346 1964.4873]]"
refee,"[[ 863.4043  1959.6367 ]
 [ 916.76074 1959.6367 ]
 [ 916.76074 1979.0391 ]
 [ 863.4043  1979.0391 ]]"
to,"[[ 926.4619 1959.6367]
 [ 955.5654 1959.6367]
 [ 955.5654 1988.7402]
 [ 926.4619 1988.7402]]"
aels,"[[1295.1064 1979.0391]
 [1343.6123 1979.0391]
 [1343.6123 1993.5908]
 [1295.1064 1993.5908]]"
boone,"[[1363.0146 1979.0391]
 [1411.5205 1979.0391]
 [1411.5205 1993.5908]
 [1363.0146 1993.5908]]"
icopsewer,"[[2037.2461 1979.0391]
 [2139.1084 1979.0391]
 [2139.1084 1998.4414]
 [2037.2461 1998.4414]]"
hel,"[[2173.0625 1979.0391]
 [2207.0166 1979.0391]
 [2207.0166 1998.4414]
 [2173.0625 1998.4414]]"
itoosewer,"[[2895.7998 1979.0391]
 [2997.662  1979.0391]
 [2997.662  1998.4414]
 [2895.7998 1998.4414]]"
decbinds,"[[ 858.5537 1983.8896]
 [ 955.5654 1983.8896]
 [ 955.5654 2003.292 ]
 [ 858.5537 2003.292 ]]"
fe,"[[ 965.2666 1983.8896]
 [1004.0713 1983.8896]
 [1004.0713 2008.1426]
 [ 965.2666 2008.1426]]"
contelat,"[[ 858.5537 2003.292 ]
 [ 960.416  2003.292 ]
 [ 960.416  2022.6943]
 [ 858.5537 2022.6943]]"
ca,"[[ 960.416   2003.292  ]
 [ 989.51953 2003.292  ]
 [ 989.51953 2022.6943 ]
 [ 960.416   2022.6943 ]]"
1ll,"[[2061.499  2003.292 ]
 [2095.4531 2003.292 ]
 [2095.4531 2022.6943]
 [2061.499  2022.6943]]"
hel,"[[2895.7998 2003.292 ]
 [2929.754  2003.292 ]
 [2929.754  2022.6943]
 [2895.7998 2022.6943]]"
1s0,"[[2968.5586 2003.292 ]
 [3002.5127 2003.292 ]
 [3002.5127 2022.6943]
 [2968.5586 2022.6943]]"
proect,"[[3492.4219 2017.8438]
 [3570.0312 2017.8438]
 [3570.0312 2037.2461]
 [3492.4219 2037.2461]]"
name,"[[3574.8818 2017.8438]
 [3642.79   2017.8438]
 [3642.79   2037.2461]
 [3574.8818 2037.2461]]"
adarsss,"[[3492.4219 2046.9473]
 [3584.583  2046.9473]
 [3584.583  2066.3496]
 [3492.4219 2066.3496]]"
agad,"[[ 858.5537 2051.7979]
 [ 897.3584 2051.7979]
 [ 897.3584 2066.3496]
 [ 858.5537 2066.3496]]"
eviball,"[[ 955.5654 2051.7979]
 [1042.876  2051.7979]
 [1042.876  2095.4531]
 [ 955.5654 2095.4531]]"
efer,"[[ 858.5537  2071.2002 ]
 [ 916.76074 2071.2002 ]
 [ 916.76074 2095.4531 ]
 [ 858.5537  2095.4531 ]]"
ta,"[[ 921.6113  2071.2002 ]
 [ 950.71484 2071.2002 ]
 [ 950.71484 2095.4531 ]
 [ 921.6113  2095.4531 ]]"
rofdsed,"[[3909.5723 2071.2002]
 [3992.0322 2071.2002]
 [3992.0322 2085.752 ]
 [3909.5723 2085.752 ]]"
so,"[[4006.584  2071.2002]
 [4045.3887 2071.2002]
 [4045.3887 2114.8555]
 [4006.584  2114.8555]]"
sewer,"[[4055.0898 2071.2002]
 [4113.297  2071.2002]
 [4113.297  2090.6025]
 [4055.0898 2090.6025]]"
iooioe,"[[1906.2803 2076.0508]
 [1969.3379 2076.0508]
 [1969.3379 2095.4531]
 [1906.2803 2095.4531]]"
tve,"[[2992.8115 2076.0508]
 [3026.7656 2076.0508]
 [3026.7656 2090.6025]
 [2992.8115 2090.6025]]"
blawnds,"[[ 853.7031  2090.6025 ]
 [ 945.86426 2090.6025 ]
 [ 945.86426 2110.005  ]
 [ 853.7031  2110.005  ]]"
ftr,"[[ 955.5654 2090.6025]
 [ 999.2207 2090.6025]
 [ 999.2207 2114.8555]
 [ 955.5654 2114.8555]]"
nocod,"[[1620.0957 2090.6025]
 [1663.751  2090.6025]
 [1663.751  2105.1543]
 [1620.0957 2105.1543]]"
twee,"[[1663.751  2090.6025]
 [1726.8086 2090.6025]
 [1726.8086 2110.005 ]
 [1663.751  2110.005 ]]"
lel,"[[1760.7627 2090.6025]
 [1794.7168 2090.6025]
 [1794.7168 2110.005 ]
 [1760.7627 2110.005 ]]"
dearinds,"[[3448.7666 2090.6025]
 [3540.9277 2090.6025]
 [3540.9277 2110.005 ]
 [3448.7666 2110.005 ]]"
fof,"[[3555.4795 2090.6025]
 [3589.4336 2090.6025]
 [3589.4336 2110.005 ]
 [3555.4795 2110.005 ]]"
coelien,"[[3899.871  2090.6025]
 [4006.584  2090.6025]
 [4006.584  2110.005 ]
 [3899.871  2110.005 ]]"
exs,"[[4050.2393 2090.6025]
 [4093.8945 2090.6025]
 [4093.8945 2114.8555]
 [4050.2393 2114.8555]]"
si,"[[4098.745  2090.6025]
 [4137.55   2090.6025]
 [4137.55   2134.2578]
 [4098.745  2134.2578]]"
snt,"[[4142.4004 2090.6025]
 [4181.205  2090.6025]
 [4181.205  2110.005 ]
 [4142.4004 2110.005 ]]"
oruu,"[[2910.3516 2095.4531]
 [2963.708  2095.4531]
 [2963.708  2114.8555]
 [2910.3516 2114.8555]]"
ceound,"[[1906.2803 2100.3037]
 [1979.0391 2100.3037]
 [1979.0391 2114.8555]
 [1906.2803 2114.8555]]"
lotlp,"[[2556.2588 2100.3037]
 [2619.3164 2100.3037]
 [2619.3164 2119.706 ]
 [2556.2588 2119.706 ]]"
tre,"[[2629.0176 2100.3037]
 [2667.8223 2100.3037]
 [2667.8223 2119.706 ]
 [2629.0176 2119.706 ]]"
iorass,"[[2362.2354 2105.1543]
 [2425.293  2105.1543]
 [2425.293  2124.5566]
 [2362.2354 2124.5566]]"
llimtinlcl,"[[3448.7666 2110.005 ]
 [3545.7783 2110.005 ]
 [3545.7783 2124.5566]
 [3448.7666 2124.5566]]"
sewea,"[[3899.871  2110.005 ]
 [3958.0781 2110.005 ]
 [3958.0781 2129.4072]
 [3899.871  2129.4072]]"
haln,"[[3967.7793 2110.005 ]
 [4011.4346 2110.005 ]
 [4011.4346 2129.4072]
 [3967.7793 2129.4072]]"
sine,"[[4050.2393 2110.005 ]
 [4093.8945 2110.005 ]
 [4093.8945 2134.2578]
 [4050.2393 2134.2578]]"
de,"[[4190.9062 2110.005 ]
 [4220.01   2110.005 ]
 [4220.01   2129.4072]
 [4190.9062 2129.4072]]"
ontelot,"[[ 858.5537 2114.8555]
 [ 955.5654 2114.8555]
 [ 955.5654 2129.4072]
 [ 858.5537 2129.4072]]"
or,"[[ 955.5654  2114.8555 ]
 [ 984.66895 2114.8555 ]
 [ 984.66895 2129.4072 ]
 [ 955.5654  2129.4072 ]]"
seso,"[[1649.1992 2114.8555]
 [1683.1533 2114.8555]
 [1683.1533 2129.4072]
 [1649.1992 2129.4072]]"
cround,"[[2556.2588 2119.706 ]
 [2629.0176 2119.706 ]
 [2629.0176 2139.1084]
 [2556.2588 2139.1084]]"
sealy,"[[1358.1641 2124.5566]
 [1411.5205 2124.5566]
 [1411.5205 2143.959 ]
 [1358.1641 2143.959 ]]"
grrued,"[[2357.3848 2124.5566]
 [2430.1436 2124.5566]
 [2430.1436 2143.959 ]
 [2357.3848 2143.959 ]]"
acced,"[[3967.7793 2134.2578]
 [4040.538  2134.2578]
 [4040.538  2148.8096]
 [3967.7793 2148.8096]]"
ted,"[[4040.538  2134.2578]
 [4079.3428 2134.2578]
 [4079.3428 2148.8096]
 [4040.538  2148.8096]]"
cort,"[[4084.1934 2134.2578]
 [4132.699  2134.2578]
 [4132.699  2148.8096]
 [4084.1934 2148.8096]]"
laltor,"[[4132.699  2134.2578]
 [4205.458  2134.2578]
 [4205.458  2148.8096]
 [4132.699  2148.8096]]"
intrl,"[[1915.9814 2143.959 ]
 [1959.6367 2143.959 ]
 [1959.6367 2158.5107]
 [1915.9814 2158.5107]]"
odsto,"[[3453.6172 2153.6602]
 [3516.6748 2153.6602]
 [3516.6748 2168.212 ]
 [3453.6172 2168.212 ]]"
bollt,"[[3574.8818 2153.6602]
 [3633.0889 2153.6602]
 [3633.0889 2168.212 ]
 [3574.8818 2168.212 ]]"
rrw,"[[3933.8252 2153.6602]
 [3977.4805 2153.6602]
 [3977.4805 2173.0625]
 [3933.8252 2173.0625]]"
reculailtes,"[[3982.331  2153.6602]
 [4108.4463 2153.6602]
 [4108.4463 2173.0625]
 [3982.331  2173.0625]]"
danido,"[[4118.1475 2153.6602]
 [4156.952  2153.6602]
 [4156.952  2168.212 ]
 [4118.1475 2168.212 ]]"
sete,"[[3051.0186 2158.5107]
 [3099.5244 2158.5107]
 [3099.5244 2173.0625]
 [3051.0186 2173.0625]]"
oouss,"[[2633.8682 2168.212 ]
 [2696.9258 2168.212 ]
 [2696.9258 2187.6143]
 [2633.8682 2187.6143]]"
efer,"[[3448.7666 2173.0625]
 [3506.9736 2173.0625]
 [3506.9736 2192.4648]
 [3448.7666 2192.4648]]"
lirl,"[[3550.629  2173.0625]
 [3589.4336 2173.0625]
 [3589.4336 2192.4648]
 [3550.629  2192.4648]]"
reoirement,"[[3899.871  2173.0625]
 [4021.1357 2173.0625]
 [4021.1357 2192.4648]
 [3899.871  2192.4648]]"
loc,"[[ 863.4043 2177.913 ]
 [ 892.5078 2177.913 ]
 [ 892.5078 2192.4648]
 [ 863.4043 2192.4648]]"
odf,"[[ 892.5078 2177.913 ]
 [ 926.4619 2177.913 ]
 [ 926.4619 2192.4648]
 [ 892.5078 2192.4648]]"
ts,"[[ 926.4619  2177.913  ]
 [ 950.71484 2177.913  ]
 [ 950.71484 2216.7178 ]
 [ 926.4619  2216.7178 ]]"
cs,"[[ 960.416  2177.913 ]
 [1047.7266 2177.913 ]
 [1047.7266 2216.7178]
 [ 960.416  2216.7178]]"
d,"[[2687.2246 2187.6143]
 [2701.7764 2187.6143]
 [2701.7764 2207.0166]
 [2687.2246 2207.0166]]"
drawings,"[[3448.7666 2192.4648]
 [3540.9277 2192.4648]
 [3540.9277 2211.8672]
 [3448.7666 2211.8672]]"
for,"[[3550.629  2192.4648]
 [3594.2842 2192.4648]
 [3594.2842 2216.7178]
 [3550.629  2216.7178]]"
ing,"[[4360.677  2192.4648]
 [4399.4814 2192.4648]
 [4399.4814 2207.0166]
 [4360.677  2207.0166]]"
triglie,"[[4443.1367 2192.4648]
 [4491.6426 2192.4648]
 [4491.6426 2207.0166]
 [4443.1367 2207.0166]]"
cosriat,"[[4505.138  2196.4512]
 [4583.42   2188.6228]
 [4585.245  2206.8726]
 [4506.963  2214.701 ]]"
hol,"[[4642.0107 2192.4648]
 [4685.666  2192.4648]
 [4685.666  2207.0166]
 [4642.0107 2207.0166]]"
pgd,"[[4767.061  2197.4336]
 [4821.364  2191.4   ]
 [4823.257  2208.4363]
 [4768.954  2214.4697]]"
refel,"[[ 863.4043  2197.3154 ]
 [ 916.76074 2197.3154 ]
 [ 916.76074 2216.7178 ]
 [ 863.4043  2216.7178 ]]"
ll,"[[3948.377  2197.3154]
 [3982.331  2197.3154]
 [3982.331  2211.8672]
 [3948.377  2211.8672]]"
feey,"[[3992.0322 2197.3154]
 [4035.6875 2197.3154]
 [4035.6875 2211.8672]
 [3992.0322 2211.8672]]"
and,"[[4045.3887 2197.3154]
 [4084.1934 2197.3154]
 [4084.1934 2211.8672]
 [4045.3887 2211.8672]]"
lhatles,"[[4093.8945 2197.3154]
 [4176.3545 2197.3154]
 [4176.3545 2211.8672]
 [4093.8945 2211.8672]]"
pina,"[[4477.091  2211.8672]
 [4525.5967 2211.8672]
 [4525.5967 2226.419 ]
 [4477.091  2226.419 ]]"
gee,"[[4525.5967 2211.8672]
 [4559.551  2211.8672]
 [4559.551  2226.419 ]
 [4525.5967 2226.419 ]]"
pilinpol,"[[4569.252  2211.8672]
 [4632.3096 2211.8672]
 [4632.3096 2226.419 ]
 [4569.252  2226.419 ]]"
ilieet,"[[4700.218  2211.8672]
 [4743.873  2211.8672]
 [4743.873  2226.419 ]
 [4700.218  2226.419 ]]"
ean,"[[4782.6777 2211.8672]
 [4821.4824 2211.8672]
 [4821.4824 2226.419 ]
 [4782.6777 2226.419 ]]"
drallieds,"[[ 858.5537 2216.7178]
 [ 955.5654 2216.7178]
 [ 955.5654 2236.12  ]
 [ 858.5537 2236.12  ]]"
for,"[[ 965.2666 2216.7178]
 [1004.0713 2216.7178]
 [1004.0713 2240.9707]
 [ 965.2666 2240.9707]]"
cearliioe,"[[3448.7666 2216.7178]
 [3579.7324 2216.7178]
 [3579.7324 2231.2695]
 [3448.7666 2231.2695]]"
cha,"[[4312.171  2231.2695]
 [4341.2744 2231.2695]
 [4341.2744 2245.8213]
 [4312.171  2245.8213]]"
ctraolire,"[[4350.9756 2231.2695]
 [4443.1367 2231.2695]
 [4443.1367 2245.8213]
 [4350.9756 2245.8213]]"
brcinles,"[[4452.838  2231.2695]
 [4540.1484 2231.2695]
 [4540.1484 2245.8213]
 [4452.838  2245.8213]]"
cor,"[[ 863.4043 2240.9707]
 [ 897.3584 2240.9707]
 [ 897.3584 2255.5225]
 [ 863.4043 2255.5225]]"
bonu,"[[ 907.0596 2240.9707]
 [ 960.416  2240.9707]
 [ 960.416  2255.5225]
 [ 907.0596 2255.5225]]"
aed,"[[4326.7227 2270.0742]
 [4370.378  2270.0742]
 [4370.378  2284.626 ]
 [4326.7227 2284.626 ]]"
saroes,"[[4452.838  2270.0742]
 [4501.3438 2270.0742]
 [4501.3438 2284.626 ]
 [4452.838  2284.626 ]]"
smet,"[[1557.0381 2274.9248]
 [1605.544  2274.9248]
 [1605.544  2294.3271]
 [1557.0381 2294.3271]]"
me,"[[1717.1074 2274.9248]
 [1765.6133 2274.9248]
 [1765.6133 2289.4766]
 [1717.1074 2289.4766]]"
sieeit,"[[1886.8779 2274.9248]
 [1935.3838 2274.9248]
 [1935.3838 2289.4766]
 [1886.8779 2289.4766]]"
siretrt,"[[2046.9473 2274.9248]
 [2095.4531 2274.9248]
 [2095.4531 2289.4766]
 [2046.9473 2289.4766]]"
segnle,"[[2192.4648 2274.9248]
 [2245.8213 2274.9248]
 [2245.8213 2289.4766]
 [2192.4648 2289.4766]]"
ead,"[[2522.3047 2274.9248]
 [2575.6611 2274.9248]
 [2575.6611 2289.4766]
 [2522.3047 2289.4766]]"
taoe,"[[2682.374  2274.9248]
 [2730.88   2274.9248]
 [2730.88   2289.4766]
 [2682.374  2289.4766]]"
erpalle,"[[2852.1445 2274.9248]
 [2905.501  2274.9248]
 [2905.501  2289.4766]
 [2852.1445 2289.4766]]"
tanets,"[[4321.872  2289.4766]
 [4394.631  2289.4766]
 [4394.631  2304.0283]
 [4321.872  2304.0283]]"
aare,"[[4452.838  2289.4766]
 [4491.6426 2289.4766]
 [4491.6426 2304.0283]
 [4452.838  2304.0283]]"
feee,"[[4530.4473 2289.4766]
 [4569.252  2289.4766]
 [4569.252  2304.0283]
 [4530.4473 2304.0283]]"
cire,"[[4569.252  2289.4766]
 [4612.907  2289.4766]
 [4612.907  2304.0283]
 [4569.252  2304.0283]]"
decn,"[[4680.8154 2289.4766]
 [4714.7695 2289.4766]
 [4714.7695 2304.0283]
 [4680.8154 2304.0283]]"
mce,"[[4719.62   2289.4766]
 [4758.425  2289.4766]
 [4758.425  2304.0283]
 [4719.62   2304.0283]]"
doice,"[[2449.546  2328.2812]
 [2512.6035 2328.2812]
 [2512.6035 2347.6836]
 [2449.546  2347.6836]]"
ealc,"[[2570.8105 2328.2812]
 [2629.0176 2328.2812]
 [2629.0176 2347.6836]
 [2570.8105 2347.6836]]"
lala,"[[2764.834  2328.2812]
 [2813.3398 2328.2812]
 [2813.3398 2342.833 ]
 [2764.834  2342.833 ]]"
rigdr,"[[2949.1562 2328.2812]
 [3017.0645 2328.2812]
 [3017.0645 2347.6836]
 [2949.1562 2347.6836]]"
ibllo,"[[3075.2715 2328.2812]
 [3128.628  2328.2812]
 [3128.628  2347.6836]
 [3075.2715 2347.6836]]"
ite,"[[4331.573  2328.2812]
 [4399.4814 2328.2812]
 [4399.4814 2367.086 ]
 [4331.573  2367.086 ]]"
bael,"[[2279.7754 2333.1318]
 [2333.1318 2333.1318]
 [2333.1318 2342.833 ]
 [2279.7754 2342.833 ]]"
lighl,"[[4283.0674 2342.833 ]
 [4321.872  2342.833 ]
 [4321.872  2362.2354]
 [4283.0674 2362.2354]]"
ete,"[[4705.0684 2342.833 ]
 [4734.172  2342.833 ]
 [4734.172  2362.2354]
 [4705.0684 2362.2354]]"
ee,"[[2473.7988 2347.6836]
 [2507.753  2347.6836]
 [2507.753  2367.086 ]
 [2473.7988 2367.086 ]]"
par,"[[4409.1826 2347.6836]
 [4443.1367 2347.6836]
 [4443.1367 2362.2354]
 [4409.1826 2362.2354]]"
oltete,"[[4472.24   2347.6836]
 [4535.298  2347.6836]
 [4535.298  2362.2354]
 [4472.24   2362.2354]]"
senreg,"[[4549.8496 2347.6836]
 [4627.459  2347.6836]
 [4627.459  2362.2354]
 [4549.8496 2362.2354]]"
1aa,"[[4637.16   2347.6836]
 [4666.2637 2347.6836]
 [4666.2637 2362.2354]
 [4637.16   2362.2354]]"
re,"[[4748.7236 2347.6836]
 [4792.379  2347.6836]
 [4792.379  2362.2354]
 [4748.7236 2362.2354]]"
provided,"[[1945.085  2352.5342]
 [2037.2461 2352.5342]
 [2037.2461 2376.787 ]
 [1945.085  2376.787 ]]"
fo,"[[2551.4082 2352.5342]
 [2595.0635 2352.5342]
 [2595.0635 2391.3389]
 [2551.4082 2391.3389]]"
for,"[[3046.168  2347.6836]
 [3094.6738 2347.6836]
 [3094.6738 2391.3389]
 [3046.168  2391.3389]]"
ceiling,"[[4472.24   2362.2354]
 [4525.5967 2362.2354]
 [4525.5967 2381.6377]
 [4472.24   2381.6377]]"
e,"[[4743.873  2367.086 ]
 [4763.2754 2367.086 ]
 [4763.2754 2381.6377]
 [4743.873  2381.6377]]"
drawings,"[[2949.5854 2365.498 ]
 [3047.4558 2372.0227]
 [3045.8677 2395.8464]
 [2947.9976 2389.3218]]"
prglatte,"[[4283.0674 2367.086 ]
 [4370.378  2367.086 ]
 [4370.378  2381.6377]
 [4283.0674 2381.6377]]"
ialagr,"[[4380.079  2367.086 ]
 [4457.6885 2367.086 ]
 [4457.6885 2381.6377]
 [4380.079  2381.6377]]"
plsnes,"[[4535.298  2367.086 ]
 [4583.8037 2367.086 ]
 [4583.8037 2381.6377]
 [4535.298  2381.6377]]"
did,"[[4593.505  2367.086 ]
 [4627.459  2367.086 ]
 [4627.459  2381.6377]
 [4593.505  2381.6377]]"
glier,"[[4637.16   2367.086 ]
 [4685.666  2367.086 ]
 [4685.666  2381.6377]
 [4637.16   2381.6377]]"
dlpss,"[[1658.9004 2371.9365]
 [1721.958  2371.9365]
 [1721.958  2391.3389]
 [1658.9004 2391.3389]]"
arinns,"[[2473.7988 2371.9365]
 [2541.707  2371.9365]
 [2541.707  2386.4883]
 [2473.7988 2386.4883]]"
peotd,"[[1285.4053 2381.6377]
 [1353.3135 2381.6377]
 [1353.3135 2401.04  ]
 [1285.4053 2401.04  ]]"
gla,"[[1411.5205 2381.6377]
 [1464.877  2381.6377]
 [1464.877  2401.04  ]
 [1411.5205 2401.04  ]]"
deaee,"[[1969.3379 2381.6377]
 [2027.5449 2381.6377]
 [2027.5449 2401.04  ]
 [1969.3379 2401.04  ]]"
crte,"[[2110.005  2381.6377]
 [2177.913  2381.6377]
 [2177.913  2401.04  ]
 [2110.005  2401.04  ]]"
lelle,"[[2231.2695 2381.6377]
 [2294.3271 2381.6377]
 [2294.3271 2401.04  ]
 [2231.2695 2401.04  ]]"
lrecile,"[[4283.0674 2386.4883]
 [4360.677  2386.4883]
 [4360.677  2401.04  ]
 [4283.0674 2401.04  ]]"
grounc,"[[1658.9004 2391.3389]
 [1726.8086 2391.3389]
 [1726.8086 2410.7412]
 [1658.9004 2410.7412]]"
edetieultion,"[[2449.546  2391.3389]
 [2580.5117 2391.3389]
 [2580.5117 2410.7412]
 [2449.546  2410.7412]]"
continlalidh,"[[2954.0068 2391.3389]
 [3080.122  2391.3389]
 [3080.122  2410.7412]
 [2954.0068 2410.7412]]"
fefer,"[[2110.005  2401.04  ]
 [2168.212  2401.04  ]
 [2168.212  2420.4424]
 [2110.005  2420.4424]]"
lil,"[[2207.0166 2401.04  ]
 [2250.6719 2401.04  ]
 [2250.6719 2420.4424]
 [2207.0166 2420.4424]]"
spatnings,"[[1285.4053 2420.4424]
 [1387.2676 2420.4424]
 [1387.2676 2478.6494]
 [1285.4053 2478.6494]]"
for,"[[1387.2676 2420.4424]
 [1426.0723 2420.4424]
 [1426.0723 2439.8447]
 [1387.2676 2439.8447]]"
icopdf,"[[1867.4756 2420.4424]
 [1935.3838 2420.4424]
 [1935.3838 2439.8447]
 [1867.4756 2439.8447]]"
tbalci,"[[1988.7402 2420.4424]
 [2046.9473 2420.4424]
 [2046.9473 2439.8447]
 [1988.7402 2439.8447]]"
drlwings,"[[2110.005  2420.4424]
 [2207.0166 2420.4424]
 [2207.0166 2439.8447]
 [2110.005  2439.8447]]"
for,"[[2211.8672 2420.4424]
 [2250.6719 2420.4424]
 [2250.6719 2439.8447]
 [2211.8672 2439.8447]]"
ciesel,"[[4622.6084 2425.293 ]
 [4695.367  2425.293 ]
 [4695.367  2434.9941]
 [4622.6084 2434.9941]]"
cuofean,"[[1193.2441 2430.1436]
 [1285.4053 2430.1436]
 [1285.4053 2449.546 ]
 [1193.2441 2449.546 ]]"
elailor,"[[2575.6611 2430.1436]
 [2638.7188 2430.1436]
 [2638.7188 2444.6953]
 [2575.6611 2444.6953]]"
iocpid,"[[2818.1904 2430.1436]
 [2886.0986 2430.1436]
 [2886.0986 2449.546 ]
 [2818.1904 2449.546 ]]"
cebalci,"[[2939.455  2430.1436]
 [2997.662  2430.1436]
 [2997.662  2449.546 ]
 [2939.455  2449.546 ]]"
nee,"[[1329.0605 2444.6953]
 [1387.2676 2444.6953]
 [1387.2676 2473.7988]
 [1329.0605 2473.7988]]"
on,"[[1387.2676 2444.6953]
 [1416.3711 2444.6953]
 [1416.3711 2459.247 ]
 [1387.2676 2459.247 ]]"
refel,"[[1867.4756 2444.6953]
 [1920.832  2444.6953]
 [1920.832  2459.247 ]
 [1867.4756 2459.247 ]]"
lubul,"[[1964.4873 2444.6953]
 [2008.1426 2444.6953]
 [2008.1426 2459.247 ]
 [1964.4873 2459.247 ]]"
ccntndeltide,"[[2110.005  2444.6953]
 [2240.9707 2444.6953]
 [2240.9707 2464.0977]
 [2110.005  2464.0977]]"
lefer,"[[2818.1904 2449.546 ]
 [2876.3975 2449.546 ]
 [2876.3975 2468.9482]
 [2818.1904 2468.9482]]"
to,"[[2881.248  2449.546 ]
 [2910.3516 2449.546 ]
 [2910.3516 2468.9482]
 [2881.248  2468.9482]]"
cibil,"[[2915.2021 2449.546 ]
 [2958.8574 2449.546 ]
 [2958.8574 2468.9482]
 [2915.2021 2468.9482]]"
lotated,"[[1193.2441 2454.3965]
 [1280.5547 2454.3965]
 [1280.5547 2478.6494]
 [1193.2441 2478.6494]]"
tis,"[[4283.0674 2459.247 ]
 [4331.573  2459.247 ]
 [4331.573  2498.0518]
 [4283.0674 2498.0518]]"
lable,"[[4467.3896 2459.247 ]
 [4511.045  2459.247 ]
 [4511.045  2478.6494]
 [4467.3896 2478.6494]]"
gecironic,"[[4548.6265 2460.299 ]
 [4632.01   2454.7402]
 [4633.2764 2473.7349]
 [4549.893  2479.2937]]"
emol,"[[4646.8613 2459.247 ]
 [4705.0684 2459.247 ]
 [4705.0684 2473.7988]
 [4646.8613 2473.7988]]"
