Text,Bounding_Boxes
heeetet,"[[2784.2363 1324.21  ]
 [2886.0986 1324.21  ]
 [2886.0986 1343.6123]
 [2784.2363 1343.6123]]"
l,"[[2939.455  1324.21  ]
 [2954.0068 1324.21  ]
 [2954.0068 1343.6123]
 [2939.455  1343.6123]]"
led,"[[2992.8115 1324.21  ]
 [3026.7656 1324.21  ]
 [3026.7656 1338.7617]
 [2992.8115 1338.7617]]"
ealoi,"[[ 994.3701 1329.0605]
 [1057.4277 1329.0605]
 [1057.4277 1343.6123]
 [ 994.3701 1343.6123]]"
leod,"[[1673.4521 1338.7617]
 [1746.2109 1338.7617]
 [1746.2109 1358.1641]
 [1673.4521 1358.1641]]"
seen,"[[2876.3975 1343.6123]
 [2929.754  1343.6123]
 [2929.754  1363.0146]
 [2876.3975 1363.0146]]"
cffee,"[[ 873.10547 1348.4629 ]
 [ 926.4619  1348.4629 ]
 [ 926.4619  1363.0146 ]
 [ 873.10547 1363.0146 ]]"
bllt,"[[2842.4434 1348.4629]
 [2871.5469 1348.4629]
 [2871.5469 1363.0146]
 [2842.4434 1363.0146]]"
deraw,"[[ 873.10547 1367.8652 ]
 [ 926.4619  1367.8652 ]
 [ 926.4619  1387.2676 ]
 [ 873.10547 1387.2676 ]]"
ns,"[[ 926.4619 1367.8652]
 [ 970.1172 1367.8652]
 [ 970.1172 1392.1182]
 [ 926.4619 1392.1182]]"
fcr,"[[ 974.9678  1367.8652 ]
 [1013.77246 1367.8652 ]
 [1013.77246 1392.1182 ]
 [ 974.9678  1392.1182 ]]"
consultent,"[[3856.2158 1372.7158]
 [3982.331  1372.7158]
 [3982.331  1396.9688]
 [3856.2158 1396.9688]]"
beue,"[[4263.665  1372.7158]
 [4321.872  1372.7158]
 [4321.872  1392.1182]
 [4263.665  1392.1182]]"
deecieton,"[[4394.631  1372.7158]
 [4515.8955 1372.7158]
 [4515.8955 1392.1182]
 [4394.631  1392.1182]]"
cate,"[[4782.6777 1372.7158]
 [4831.1836 1372.7158]
 [4831.1836 1392.1182]
 [4782.6777 1392.1182]]"
coie,"[[ 868.2549 1392.1182]
 [ 907.0596 1392.1182]
 [ 907.0596 1406.6699]
 [ 868.2549 1406.6699]]"
toe,"[[ 907.0596 1392.1182]
 [ 960.416  1392.1182]
 [ 960.416  1406.6699]
 [ 907.0596 1406.6699]]"
tcodsewer,"[[2915.2021 1411.5205]
 [3021.915  1411.5205]
 [3021.915  1435.7734]
 [2915.2021 1435.7734]]"
droln,"[[3055.8691 1411.5205]
 [3114.0762 1411.5205]
 [3114.0762 1430.9229]
 [3055.8691 1430.9229]]"
eutay,"[[1392.1182 1416.3711]
 [1455.1758 1416.3711]
 [1455.1758 1435.7734]
 [1392.1182 1435.7734]]"
odeto,"[[3453.6172 1416.3711]
 [3516.6748 1416.3711]
 [3516.6748 1435.7734]
 [3453.6172 1435.7734]]"
ballp,"[[3574.8818 1416.3711]
 [3633.0889 1416.3711]
 [3633.0889 1435.7734]
 [3574.8818 1435.7734]]"
